Date,Adjusted Close Price,lnstock,lnstockdiff
01/09/2010,51.33556,3.938383689,0.083086942
01/10/2010,52.810341,3.966707024,0.028323334
01/11/2010,51.434715,3.940313334,-0.02639369
01/12/2010,51.68541,3.945175537,0.004862203
03/01/2011,49.947243,3.910967308,-0.034208228
01/02/2011,51.807121,3.947527611,0.036560302
01/03/2011,49.96048,3.911232293,-0.036295318
01/04/2011,55.41608,4.014869804,0.103637511
02/05/2011,57.23204,4.047113881,0.032244077
01/06/2011,56.577133,4.035604893,-0.011508988
01/07/2011,55.105721,4.00925354,-0.026351353
01/08/2011,56.463352,4.033591791,0.02433825
01/09/2011,54.652744,4.000999424,-0.032592367
03/10/2011,55.253418,4.011930203,0.010930779
01/11/2011,56.051991,4.026279671,0.014349468
01/12/2011,56.79681,4.039480162,0.013200491
03/01/2012,57.082615,4.044499604,0.005019442
01/02/2012,56.861645,4.040621037,-0.003878568
01/03/2012,57.630516,4.054052219,0.013431183
02/04/2012,56.879116,4.040928244,-0.013123975
01/05/2012,55.077301,4.008737671,-0.032190573
01/06/2012,59.603115,4.087707838,0.078970167
02/07/2012,61.067612,4.111981644,0.024273806
01/08/2012,60.028988,4.094827579,-0.017154065
04/09/2012,61.34655,4.116538935,0.021711356
01/10/2012,63.046906,4.143878989,0.027340054
01/11/2012,62.6255,4.137172543,-0.006706446
03/12/2012,62.957794,4.142464565,0.005292022
02/01/2013,66.388588,4.195525174,0.053060609
01/02/2013,68.902237,4.232688645,0.037163471
01/03/2013,73.808952,4.301480025,0.06879138
01/04/2013,77.158554,4.345862448,0.044382423
01/05/2013,76.780853,4.340955299,-0.004907148
03/06/2013,78.313187,4.360716005,0.019760706
01/07/2013,85.281654,4.445959355,0.08524335
01/08/2013,79.408661,4.374607443,-0.071351912
03/09/2013,79.66597,4.377842518,0.003235076
01/10/2013,85.1063,4.443901063,0.066058545
01/11/2013,87.597496,4.472752413,0.02885135
02/12/2013,84.756538,4.439782888,-0.032969525
02/01/2014,81.869324,4.405124366,-0.034658521
03/02/2014,85.860428,4.452723048,0.047598681
03/03/2014,91.555252,4.516942637,0.064219589
01/04/2014,94.407318,4.547618591,0.030675954
01/05/2014,95.224831,4.556240738,0.008622146
02/06/2014,98.190636,4.586910854,0.030670117
01/07/2014,93.939018,4.542645827,-0.044265027
01/08/2014,98.013832,4.585108612,0.042462785
02/09/2014,100.716225,4.612306909,0.027198297
01/10/2014,101.840652,4.623409356,0.011102448
03/11/2014,102.950912,4.634252292,0.010842936
01/12/2014,99.451057,4.599665634,-0.034586658
02/01/2015,95.237915,4.556378129,-0.043287504
02/02/2015,98.174347,4.586744949,0.03036682
02/03/2015,96.345123,4.567936776,-0.018808173
01/04/2015,95.004333,4.553922501,-0.014014275
01/05/2015,96.603935,4.570619475,0.016696974
01/06/2015,94.01857,4.543492316,-0.027127159
01/07/2015,96.671463,4.57131825,0.027825934
03/08/2015,91.355011,4.514753136,-0.056565114
01/09/2015,90.742599,4.508026916,-0.00672622
01/10/2015,98.208092,4.587088615,0.079061699
02/11/2015,99.137695,4.596509742,0.009421127
01/12/2015,100.586967,4.611022697,0.014512954
04/01/2016,102.271248,4.627628578,0.016605881
01/02/2016,103.771889,4.642195115,0.014566537
01/03/2016,106.721016,4.670218102,0.028022987
01/04/2016,110.547989,4.705449716,0.035231614
02/05/2016,111.943214,4.717991725,0.012542009
01/06/2016,120.496162,4.791617902,0.073626177
01/07/2016,124.400116,4.823503113,0.031885211
01/08/2016,119.339996,4.781976529,-0.041526584
01/09/2016,118.129997,4.771785688,-0.010190841
03/10/2016,118.809998,4.777525562,0.005739874
